strain	mean_yfp	mean_rfp	mean_ratio	se_ratio	insert_sequence	kozak_region
schp688	1748	20754	0.755	0.066	10×AGA	A
schp684	3294	20585	1.437	0.021	10×AGA	B
schp690	3535	20593	1.541	0.018	10×AGA	C
schp687	4658	20860	2.004	0.021	10×AGA	D
schp686	5000	21171	2.121	0.023	10×AGA	E
schp685	7379	22956	2.893	0.05	10×AGA	F
schp683	9365	23866	3.522	0.11	10×AGA	G
schp689	8693	22649	3.424	0.125	10×AGA	H
schp679	2528	19906	1.149	0.056	10×AAG	A
schp675	3687	20438	1.621	0.036	10×AAG	B
schp681	3705	20227	1.645	0.021	10×AAG	C
schp678	4378	20630	1.906	0.01	10×AAG	D
schp677	3967	20604	1.728	0.03	10×AAG	E
schp676	2657	20223	1.177	0.048	10×AAG	F
schp674	1270	20316	0.561	0.004	10×AAG	G
schp680	1117	19377	0.519	0.01	10×AAG	H
